mpn;gender;contact_material;contact_plating;color;housing_color;housing_material;mounting_style;number_of_contacts;number_of_positions;number_of_rows;orientation;pin_pitch;material;size_diameter;size_length;size_height;size_width
5747842-4;Male;Brass;Tin over Nickel;Black;Black;Thermoplastic;Through Hole;25;25;2;Right Angle;0.00277;Steel;;0.05304;0.01255;0.01875
172166-1;Male;;;Transparent;Natural;Nylon;;3;3;1;;0.0042;Nylon;;0.013995;0.005588;0.023698
749877-7;Female;Phosphor Bronze;Gold Flash;Black;Black;Thermoplastic;Panel;68;68;2;;0.00127;;;0.06388;0.01504;0.01031
2-5178238-8;Female;Copper Alloy;Tin;Black;Black;Nylon;Through Hole;68;68;;Vertical;;;;0.06383;0.0094;0.011645
770019-1;Male;;;White;White;Nylon;;4;4;;;0.00635;;;0.02667;0.014732;0.021463
5536053-5;Male;Brass;Tin;;Gray;Plastic;Solder;32;32;2;Right Angle;0.00254;;;0.05334;0.00856;0.01262
1-1318300-4;Male;Brass;Tin;Natural;Natural;Plastic;Through Hole;4;4;1;Vertical;0.00396;Brass;;0.01578;0.003;0.0085
5622-4100-ML;Male;Copper Alloy;Gold;;Black;Plastic;Through Hole;22;22;1;;0.00127;;;0.04276;0.0056;0.011
1-747948-6;Male;Phosphor Bronze;Tin;Black;Black;Plastic;;25;25;2;;0.002769;;;0.056134;0.041656;0.016002
SFW6R-1STE1LF;Female;Phosphor Bronze;Tin;;Brown;;Surface Mount;6;6;;;0.001;;;0.0118;0.0027;0.0055
HLW16R-2C7LF;Female;Phosphor Bronze;Tin;;Black;Plastic;Through Hole;16;16;;;0.001;;;0.0186;0.0039;0.0059
1-1658622-1;Female;Phosphor Bronze;Tin;Black;Black;Plastic;;60;60;2;Vertical;0.00254;;;0.080772;0.01178;0.006096
5179029-2;Male;Brass;Tin;Natural;Natural;;Surface Mount;60;60;2;Vertical;0.0008;;;0.0298;0.006;0.006
3-644540-6;Female;Copper Alloy;Tin;Red;Red;Nylon;;6;6;1;;0.00254;;;0.01524;0.013208;0.007747
89947-710LF;Female;Phosphor Bronze;Gold over Nickel;;Black;Plastic;Surface Mount;10;10;2;;0.002;;;0.0146;0.0075;0.0041
640621-5;;Copper Alloy;Tin Lead;White;White;Nylon;;5;5;1;;0.00254;;;0.0127;0.013208;0.007747
3-640622-2;Female;Copper Alloy;Tin;Blue;Blue;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.007747
5747375-8;Male;Brass;Gold Flash;Black;Black;Thermoplastic;Through Hole;37;37;2;Vertical;0.00277;;;0.06939;0.01183;0.01255
5530843-5;Female;Phosphor Bronze;Tin;Black;Black;Polyester;Through Hole;50;25;2;Vertical;0.00254;;;0.070104;0.01549;0.009347
1658622-5;Female;Phosphor Bronze;Tin;Black;Black;Plastic;;24;24;2;Vertical;0.00254;;;0.035052;0.011786;0.006096
443975-1;Female;Brass;Gold;;;Plastic;Solder;9;9;2;Vertical;;;;0.03081;0.01486;0.01255
746610-2;Male;Phosphor Bronze;Tin Lead;Black;Black;Plastic;Through Hole;14;14;2;Vertical;0.00254;;;0.022352;0.010058;0.007061
1658614-1;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;;37;37;2;;0.00276;Thermoplastic;;0.069393;0.018618;0.012598
3-640441-3;Female;Copper Alloy;Tin;Natural;White;Nylon;PC Board;3;3;1;;0.00254;;;0.00762;0.013208;0.006985
4-643814-5;Female;Copper Alloy;Tin;White;White;Nylon;;15;15;1;;0.00254;;;0.0381;0.006985;0.013208
L77DD50S;Female;Brass;Gold;Black;Black;Plastic;Solder;50;50;2;;;;;0.06731;0.01115;0.01575
5745183-2;Female;Phosphor Bronze;Gold Flash;Black;Black;Plastic;Through Hole;9;9;2;Vertical;0.00277;;;0.03081;0.01768;0.01255
3-640595-3;Female;Copper Alloy;Tin;Blue;Blue;Nylon;;3;3;1;;0.00396;;;0.011887;0.018415;0.009779
